mẹ cô ấy	cô ấy mẹ
ông_cụ dạo này yếu lắm	dạo này ông_cụ yếu lắm
ở đời quý nhất chữ_nhân	ở đời chữ_nhân quý
may_vá học cũng không dễ	may_vá học dễ không
nấu_nướng thì ở nhà có mình em	nấu_nướng nhà mình em có
thế_gian được vợ hỏng chồng	thế_gian vợ được chồng hỏng
lòng quê đi một bước_đường một đau	lòng quê đi một bước_đường một đau
mai đi thì muộn	mai đi muộn thì
ở đây mà làm hồ bơi thì tuyệt	ở đây hồ bơi làm tuyệt
bài này mà lạc_đề thì hỏng rồi	bài này lạc_đề thì hỏng
mát mà hơn đây thì chỉ có Sa_Pa	mát hơn đây có Sa_Pa
mai muốn kịp thì đi máy_bay	mai kịp muốn máy_bay
ông_cụ yếu đi thì đáng lo	ông_cụ yếu lo
đời còn quý chữ_nhân thì chưa đến_nỗi	đời chữ_nhân quý thì chưa đến_nỗi
may_vá có khó thì mới_phải học	may_vá khó thì mới_phải học
mình em nấy nướng thì không kịp	em ấy nướng không kịp
chưa nói đã cười là người vô_duyên	nói chưa cười đã người vô_duyên
Cao_Bằng gạo_trắng_nước_trong	Cao_Bằng gạo_trắng_nước_trong
ngọn đèn khi tỏ khi mờ	đèn khi tỏ khi mờ
món này ăn thì ngon làm thì tốn công	món này ngon ăn tốn công làm
ở đây trước lạ sau quen	ở đây lạ trước quen sau
lúc này gạo_châu_củi_quế	lúc này gạo_châu_củi_quế
làm cho thì thân_tàn_ma_dại	
ai về ai ở mặc ai	về ai ở ai mặc ai
trên thuận dưới hòa là hay nhất	trên thuận dưới hòa
trong đánh ra ngoài đánh vào thì nhất_định thắng	đánh trong ra ngoài đánh vào thì thắng nhất_định
ăn_có_nhai_nói_có_nghĩ thì mới là người khôn	ăn_có_nhai_nói_có_nghĩ là người khôn
khôn sống mống chết là một thực_tế xã_hội	khôn sống mống chết là xã_hội thực_tế
con_trâu đi trước cái cày theo sau thì còn lạc_hậu	con_trâu đi trước cày sau thì lạc_hậu còn
	
	
lỗi này tại ai thì tôi không biết	lỗi này tại ai tôi không biết
quan biết thì nó chết	quan biết nó chết
mai đã đi thì tôi chuẩn_bị không kịp	mai đi tôi chuẩn_bị không kịp
sen xa hồ sen khô hồ cạn	hồ sen xa hồ cạn
liễu xa đào liễu ngả đào nghiêng	liễu đào xa liễu ngả đào nghiêng
sớm mưa trưa nắng là anh yêu mình	mưa sớm nắng trưa là anh mình yêu
sông_cạn_đá_mòn anh vẫn thủy_chung	sông_cạn_đá_mòn anh thủy_chung vẫn
ai đi ai về nó cũng chẳng để_ý	đi ai về ai nó chẳng để_ý
sáng vác tối vác thì ai mà chả chán	vác sáng vác tối chán
đau quá	
đang bận lút đầu lút cổ	
đi đâu_đấy	đi đâu_đấy
khỏe chứ	
có đau không	đau có
cấm hút thuốc_lá	thuốc_lá hút cấm
không chạy xe trong sân	trong sân chạy xe không
coi_chừng mất xe	xe mất coi_chừng
phải tôn_trọng và giúp_đỡ người già_cả và phụ_nữ có_thai	tôn_trọng giúp_đỡ người già_cả phụ_nữ có_thai phải
cần ăn để mà sống chứ không phải sống để mà ăn	ăn sống cần chứ sống ăn không phải
ngồi xuống	
mời ngồi xuống	mời ngồi
quý_vị ngồi xuống đi	quý_vị ngồi
tôi mời quý_vị an_tọa	quý_vị an_tọa mời
cám_ơn các bạn	cám_ơn các bạn
cám_ơn các bác	cám_ơn các bác
khuya rồi	khuya rồi
nóng quá , sắp mưa rồi	nóng quá mưa sắp
như tranh_thủy_mặc ấy , đẹp quá	như tranh_thủy_mặc đẹp
nhiều bướm quá , có con đẹp quá kìa	bướm nhiều có con đẹp quá
tệ đến thế kia à	tệ thế
ở đây lúc này , trời nóng quá	ở đây lúc này nóng quá
ở đây lúc này , trời sắp mưa	ở đây lúc này mưa sắp
số tác_giả này nhận_định khác hẳn	tác_giả này nhận_định khác hẳn
đã bảo mà	bảo đã
	
một cái tát rất kêu	một tát rất kêu
tiếng đấm , tiếng đá nhau bình_bịch	đấm đá tiếng bình_bịch
họ đã bảo mà	họ bảo đã
phen này thì_phải biết	phen này thì_phải biết
lúc ấy có_thể nghe thấy một cái tác rất kêu	lúc ấy tát nghe
lúc ấy có_thể nghe thấy tiếng đấm_đá nhau bình_bịch	lúc ấy có_thể đấm_đá nghe bình_bịch
đấm_đá như_thế cứ gọi_là tan xương	đấm_đá như_thế tan xương
đại_bác ùng_oàng suốt đêm	đại_bác ùng_oàng suốt đêm
tiếng ùng_oàng của đại_bác nghe thưa dần	tiếng đại_bác ùng_oàng nghe thưa dần
có_tiếng đại_bác nổ ùng_oàng từ xa	xa có_tiếng đại_bác ùng_oàng
điều ấy tôi biết rồi	điều ấy tôi biết rồi
điều anh vừa nói ấy tôi biết rồi	điều anh vừa nói tôi biết
tôi đã xem trận ấy	tôi trận ấy đã xem
tôi đã xem đội ta đấu với đội bạn	tôi xem đội ta đội bạn đấu
vì lợi_ích chung ông_ta đã xin từ_chức	vì lợi_ích chung ông_ta từ_chức xin
Cụ Tú đã bạc hết cả tóc rồi	Cụ Tú tóc bạc hết
Cụ Tú tóc bạc hết cả rồi	Cụ Tú tóc bạc hết
ôi , cảnh ly_biệt mà_sao buồn vậy	ly_biệt mà_sao buồn
anh Đức này , anh lấy tôi làm vợ nhé	anh Đức anh tôi lấy làm vợ
ông Chưởng , phó của cha tôi , nay đã lên tướng	ông Chưởng phó cha tôi nay lên tướng
anh có biết ông ấy không , ông Văn ấy mà	anh ông ấy biết Văn
không ai nói_gì , mọi người lảng dần ra	ai nói_gì không mọi người lảng dần
không ai nói_gì , rồi mọi người lảng dần ra	ai nói_gì không mọi người lảng dần
không ai nói_gì nhưng mọi người lảng dần ra	ai nói_gì không nhưng mọi người lảng dần
không ai nói_gì nên mọi người lảng dần ra	ai nói_gì không nên mọi người lảng dần
tuy không ai nói_gì nhưng mọi người lãng dần ra	tuy ai nói_gì không nhưng mọi người lãng dần
vì không ai nói_gì nên mọi người lãng dần	vì ai nói_gì không nên mọi người lãng dần
đã bấy_lâu_nay bác tới nhà	đã bấy_lâu_nay bác tới nhà
trẻ thời đi vắng , chợ thời xa	trẻ thời đi vắng chợ thời xa
ao sâu nước cả , khôn chài cá	ao nước sâu khôn chài cá
vườn rộng rào thưa , khó duổi gà	vườn rộng rào thưa gà khó duổi
cải chửa ra cây , cà mới nụ	cải cây chửa ra cà nụ mới
bầu vừa rụng rốn , mướp ra hoa	bầu rốn rụng mướp hoa ra
đầu_trò tiếp khách trầu_không có	đầu_trò khách tiếp trầu_không có
bác đến chơi đây , ta với ta	bác đến chơi đây ta với ta
tôi cũng không biết	tôi không biết cũng
sao anh lại nói thế	anh nói sao
chuyện này nghiêm_trọng đây	chuyện này nghiêm_trọng
nhưng ai biết mà sợ	biết ai mà sợ
sau đây là vài điểm cần nói rõ thêm	sau đây vài điểm nói rõ cần
tôi không dính vào việc này	tôi dính không vào
anh cũng đừng nghi_ngờ gì anh_ấy	anh nghi_ngờ đừng anh_ấy
đừng ra sân , ngoài ấy rét lắm	sân ra đừng ngoài ấy rét
bà ấy đánh con chó dữ quá , làm như_thế không có tác_dụng giáo_dục	bà ấy chó đánh quá như_thế tác_dụng không có
tôi không muốn đi , vả_lại đã muộn rồi	tôi đi không muốn vả_lại muộn rồi
	
cám_ơn bác	
cháu cám_ơn bác	
cháu cám_ơn bác ạ	
cuốn Chí_Phèo ở dưới chồng tạp_chí	cuốn Chí_Phèo ở dưới tạp_chí
dưới chồng tạp_chí có cuốn Chí_Phèo	dưới tạp_chí có cuốn Chí_Phèo
chồng tạp_chí ở trên cuốn Chí_Phèo	tạp_chí trên cuốn Chí_Phèo
cái xe màu đỏ ấy mới là xe của tôi	xe màu đỏ là xe của tôi
xe của tôi là cái màu đỏ ấy	xe của tôi màu đỏ
ăn nhiều quá thì mới sinh_bệnh chứ	ăn nhiều sinh_bệnh
sinh_bệnh đâu phải tại ăn , mà tại ăn nhiều quá đấy chứ	sinh_bệnh đâu phải tại ăn nhiều
ai chứ nó thì không tin được	nó không tin
gà của ông Tư chết mất hai con	ông Tư gà hai chết
anh_ấy đã giết ông Ba	anh_ấy ông Ba giết
anh_ấy đã lấy tiền ông Ba	ông Ba anh_ấy lấy tiền
tôi không tiêu tiền_của ông Ba	tôi ông Ba tiêu tiền_của không
nó phải giải nhiều bài	nó nhiều bài phải giải
nó giải được năm bài , thì ba bài đúng	nó bài năm ba đúng
còn hai bài kia thì sai	còn hai sai
anh_ta biết đánh bóng_bàn	anh_ta bóng_bàn đánh biết
trong khoa còn có người khác biết đánh bóng_bàn	trong khoa người bóng_bàn đánh có
năng_lực chuyên_môn của anh_ta nói ra không tiện	nói anh_ta năng_lực chuyên_môn tiện không
nói vào_đề	nói vào_đề
nói hết	nói hết
nói vừa đủ	nói đủ vừa
nói rõ_ràng	nói rõ_ràng
từ xóm bên bốc lên một cột khối	xóm bên cột khối bốc lên
lá rụng trên thềm	trên thềm lá rụng
chìa_khóa này mở_cửa kho	chìa_khóa này kho mở_cửa
có muỗi	muỗi có
còn tiền trong túi	túi tiền còn
trên tường treo một bức tranh	bức tranh trên tường
con chó chạy ngoài sân	ngoài sân chó chạy
thằng bé nhìn con hổ	thằng bé hổ nhìn
Nam lau bàn	Nam bàn lau
Nam đóng bàn	Nam bàn đóng
Nam cho em bé cái kẹo	Nam em bé cho kẹo
Nam đập cái cốc vỡ tan	Nam cốc đập vỡ
Nam đánh cái chuông kêu boong_boong	Nam chuông đánh boong_boong
Nam sai em đi mua thuốc_lá	Nam em sai thuốc_lá mua
gió mở tung cửa_sổ	cửa_sổ gió mở
gió không nên mở tung cửa_sổ	cửa_sổ gió mở không nên
cháu bé gầy_yếu quá	bé gầy_yếu
chúng_tôi rất thương cháu	chúng_tôi cháu thương
chàng yêu nàng	
nó rất sợ rắn	rắn nó sợ
con tê_giác không khỏe bằng con voi	voi tê_giác khỏe không bằng
anh_ấy giỏi hơn	anh_ấy giỏi hơn
chương 1 là chương dài nhất của cuốn sách	chương 1 chương cuốn sách dài nhất
trung_úy Dũng là chỉ_huy đại_đội chúng_tôi	trung_úy Dũng đại_đội chúng_tôi chỉ_huy
đây là chỗ họp thích_hợp nhất	đây là chỗ họp thích_hợp nhất
chiếc xe khổ của vẫn mới hơn của tôi	xe anh mới hơn vẫn của tôi
chiều nay thế_nào cũng mưa	chiều nay mưa thế_nào cũng
sao anh nỡ làm thế	anh làm thế sao nỡ
tôi cần biết ngày anh lên_đường	ngày anh lên_đường tôi biết cần
lần sau còn thể nữa thì tôi không để cho anh yên đâu	lần sau anh tôi để không yên
tập truyện của anh là một kiệt_tác	truyện anh kiệt_tác
mọi người đứng_dậy	mọi người đứng_dậy
mọi người đứng_dậy đi	mọi người đứng_dậy
mọi người đứng_dậy ư	mọi người đứng_dậy
cảnh đẹp mà buồn	cảnh đẹp mà buồn
cảnh đẹp mà buồn làm_sao	cảnh đẹp mà buồn làm_sao
tôi cấm anh hút thuốc_lá	anh thuốc_lá hút tôi cấm
cha tôi cấm tôi hút thuốc_lá	tôi hút thuốc_lá cha cấm
tôi đã bõ thuốc_lá	tôi thuốc_lá bõ
tôi cấm anh	tôi anh cấm
tôi cấm đấy	tôi cấm
tôi đã cấm anh kia rồi mà	tôi anh cấm
tôi cấm nó rồi	tôi nó cấm
nó cấm anh à	nó anh cấm
đề_nghị các đồng_chí yên_lặng	đồng_chí đề_nghị yên_lặng
xin đề_nghị các đồng_chí yên_lặng	xin đồng_chí đề_nghị yên_lặng
tôi gửi các bạn lời chào thân_ái	tôi bạn gửi lời chào thân_ái
tôi xin gửi các bạn lời chào thân_ái	tôi bạn gửi lời chào thân_ái
	
tôi xin cảm_ơn	tôi cảm_ơn
các con không được cãi nhau nữa	con cãi nhau không được
anh kê cái bàn ấy ra đây cho đẹp	anh bàn kê đây đẹp
bác vào chơi xơi nước ạ	bác vào nước xơi
cái bông hoa này vẽ to quá	hoa này vẽ to
đường_sá lầy_lội kinh người	đường_sá lầy_lội kinh
chính anh làm hỏng việc chứ ai	anh làm hỏng
làm như_thế cũng được chứ sao	làm như_thế được chứ sao
lại muốn vòi tiền nữa chứ gì	muốn tiền chứ gì
anh phê_bình hay mạt_sát tôi đấy	anh tôi phê_bình mạt_sát
con hay con mèo đánh vỡ bình hoa	con hay con mèo bình hoa vỡ
cậu thích chó hơn hay mèo hơn	cậu chó mèo thích hơn
Nam tặng em bé kẹo hay nước_hoa	kẹo hay nước_hoa bé Nam tặng
mình đi xe_lửa hay máy_bay	xe_lửa hay máy_bay mình đi
cuộc họp hoãn lại một tuần hay nửa tháng	họp hoãn một tuần hay nửa tháng
ông có diêm không	ông diêm có
con muốn ăn đòn phải không	con đòn muốn
mày có câm cái mồm đi không	mày mồm câm
ông cho tôi xin tí lửa	ông lửa tôi xin
con hãy ngừng ngay cái việc đáng đánh_đòn ấy	ngừng ngay việc đáng đánh_đòn
mày câm cái mồm đi	mày mồm câm
bỏ xuống đây	bỏ xuống đây
ăn gì to_lớn đẫy_đà làm_sao	ăn gì to_lớn đẫy_đà làm_sao
thế_thì có khổ cho tôi không	thế_thì tôi khổ
người đâu mà vô_tâm	người đâu mà vô_tâm
tổ_quốc có bao_giờ đẹp thế_này chăng	tổ_quốc có bao_giờ đẹp thế_này chăng
nhằm thẳng quân_thù , bắn	nhằm quân_thù bắn
ngủ đi	
mây ơi , hãy ngừng trôi	mây trôi hãy ngừng
lá ơi , đừng rụng nữa	lá ơi rụng đừng
đừng xanh như lá , bạc như vôi	xanh như lá bạc như vôi đừng
hãy tươi mãi màu xanh_tươi ánh thép	màu xanh_tươi tươi mãi ánh thép hãy
xin các bạn giữ trật_tự	xin bạn trật_tự
các bạn giữ trật_tự	bạn trật_tự
các bạn có giữ trật_tự không nào	bạn trật_tự không
anh_ta có tài mà chẳng có đức	anh_ta tài có đức chẳng có
việc này khó lắm đấy	việc này khó lắm đấy
em ơi , buồn làm_chi	em buồn làm_chi
thế có khổ không	thế khổ có
những ngày tôi đang sống đáng sống bao_nhiêu	những ngày tôi sống đáng sống bao_nhiêu
đẹp quá nhỉ	đẹp quá
cuốn truyện này rất hay	cuốn truyện này hay
cuốn truyện này không hay	cuốn truyện này hay không
cuốn truyện này không hay lắm	cuốn truyện này hay không
thanh này không dài bằng thanh kia	thanh này thanh kia không dài bằng
thanh này ngắn hơn thanh kia	thanh này thanh kia ngắn hơn
rẻ thì_có rẻ , nhưng không đẹp	rẻ thì_có rẻ nhưng đẹp không
nó có giận anh thật , nhưng không ghét anh đâu	anh nó giận có nhưng ghét không
cháu đã làm bài thi toán	cháu bài thi toán làm đã
bài thi toán cháu được nửa điểm	bài thi toán cháu nửa điểm
vì_thế là nhiều đối_với cháu	vì_thế đối_với cháu nhiều
cháu kén quá đấy	cháu kén quá
còn bạc còn tiền còn đệ_tử	bạc còn tiền còn đệ_tử còn
Nam trêu em bé	bé Nam trêu
em bé khóc	bé khóc
gió đánh cành tre	cành tre gió đánh
gió thổi , mây bay	thổi gió bay mây
công_việc đang bộn_bề	công_việc bộn_bề
mọi lí_thuyết đều xám	lí_thuyết mọi xám đều
Nam là học_sinh giỏi	Nam học_sinh giỏi
đáng tiếc thật	thật tiếc
đèn đêm đã bật , sân_bay lại bắt_đầu làm_việc	đèn đêm bật sân_bay bắt_đầu làm_việc
vào đâu tre cũng sống , ở đâu tre cũng xanh tốt	vào đâu tre sống đâu tre xanh tốt
nước reo quanh chân lúa , lúa rung lên , lòng người cũng rung lên	nước quanh chân lúa reo lúa rung lòng người rung
ngoài đình , trống lại thúc , mõ lại khua , tù_và rúc liên_thanh bất chỉ	ngoài đình trống thúc mõ khua tù_và liên_thanh rúc
cằm ông bạnh ra , mắt ông trợn_trừng , cả người ông như một pho tượng bằng đồng_đen cuồn_cuộn những bắp_thịt	cằm ông bạnh ra mắt trợn_trừng cả người pho tượng bằng đồng_đen cuồn_cuộn bắp_thịt
những chiếc ô_tô chạy đi , chạy lại như những con_thoi , máy_bay_phản_lực rít ào_ào và len_lỏi giữa tất_cả những ô_tô , máy_bay ấy có một chiếc xe_đạp ba bánh	ô_tô chạy đi chạy như con_thoi máy_bay_phản_lực rít và len_lỏi máy_bay chiếc xe_đạp ba bánh có
cái Tý hai hàng nước_mắt ròng_ròng , hôn_hít các em một lượt , rồi lủi_thủi , nó đội mê nón trên đầu và cắp gói áo vào nách	Tý nước_mắt ròng_ròng em hôn_hít nón đội mê trên đầu gói áo vào nách cắp
nước ta là một , dân_tộc ta là một	nước một dân_tộc một
nhân_dân như nước , bộ_đội như cá	nhân_dân nước bộ_đội cá
mọi người đi rồi chỉ còn thằng bé Tun ở nhà	người đi chỉ còn thằng bé Tun nhà ở
hoa bưởi thơm rồi : đêm đã khuya	hoa bưởi thơm đêm khuya
Lương bật đèn_pin nhìn đồng_hồ tay : hai giơ rưỡi sáng	Lương đèn_pin bật đồng_hồ tay nhìn giờ hai rưỡi sáng
bên vệ đường có hai cha_con làm_ruộng : cha đánh cày , con đập đất	vệ đường cha_con làm_ruộng hai cha cày đánh con đất đập
chị Hoàng chạy lại buýp phê lấy một quyển sách bìa dày gáy da đem lại	Hoàng sách một lấy bìa dày da gáy đem
mình đọc hay tôi đọc	mình đọc hay tôi đọc
hoặc là chúng_ta phải nghĩ tới nhân_dân ; hoặc là chúng_ta chỉ lo_lắng cho riêng mình	chúng_ta nhân_dân nghĩ chúng_ta mình lo_lắng
chợ không họp vì không phải phiên	chợ không họp vì không phải phiên
người_ta đã yêu_mến anh là vì_thế	người_ta anh yêu_mến
hai mục_đích khác_nhau , nên phương_pháp khoa_học và kỹ_thuật để đạt đến mục_đích cũng khác_nhau	mục_đích hai khác_nhau phương_pháp khoa_học kỹ_thuật đạt mục_đích khác_nhau
em đã sống , bởi_vì em chiến thắng	em sống bởi_vì em chiến thắng
hễ tôi hơi động vào mình nó , nó lại lè lưỡi ra y_như thường_ngày	tôi hơi động nó nó lè lưỡi
thời_đại biến_đổi thì văn_học cũng biến_đổi	thời_đại biến_đổi văn_học biến_đổi
bố ạ ! nếu thế_thì con đã gặp anh Sạ	bố con Sạ gặp
miễn_là đứng trên lập_trường tư_tưởng đại_chúng nhân_dân mà giải_quyết thì ta vẫn có_thể vận_dụng mọi hình_thức , ta vẫn hết_sức tự_do trong sự lựa_chọn đề_tài	trên lập_trường tư_tưởng đại_chúng nhân_dân mà giải_quyết thì ta hình_thức vận_dụng ta tự_do lựa_chọn đề_tài
văn có hay tác_phẩm mới có giá_trị	văn có tác_phẩm giá_trị có
Việt_Minh mà lên được thì dân đỡ khổ ông nhỉ	Việt_Minh lên thì dân khổ đỡ
tuy rất đẹp nhưng mùa nào thức ấy	tđẹp nhưng mùa nào thức ấy
tuy miệng cười_nói vậy_mà bụng ông cũng rối_bời lên	miệng cười_nói vậy_mà bụng ông rối_bời
mặc_dù vậy đối_với gia_đình vợ , Thứ vẫn cố_ý không thân_mật lắm	đối_với gia_đình vợ Thứ thân_mật cố_ý không
	
chiếc xe càng đến gần phố Hàng_Cót , Phượng càng hồi_hộp	xe đến gần phố Hàng_Cót Phượng hồi_hộp
ngoài kia tiếng gõ_cửa mạnh bao_nhiêu , trong này trống_ngực tôi mạnh bấy_nhiêu	ngoài kia tiếng gõ_cửa mạnh bao_nhiêu trong này trống_ngực tôi mạnh bấy_nhiêu
giai_cấp nào nắm quyền_sở_hữu về tư_liệu_sản_xuất thì giai_cấp đó là giai_cấp thống_trị	giai_cấp quyền_sở_hữu tư_liệu_sản_xuất nắm giai_cấp thống_trị
càng đi xuống phong_cách càng quen mắt	đi xuống phong_cách quen mắt
tôi cố nói rất tự_nhiên để anh không một_chút nghi_ngờ	tôi tự_nhiên nói anh không một_chút nghi_ngờ
để cho mẹ yên_tâm , cô thường viết thư cho mẹ	mẹ yên_tâm cô thường thư cho mẹ viết
anh đánh đàn cho tôi nghe	anh đàn đánh tôi nghe
vô_luận kẻ địch hung_bạo thế_nào , hễ đụng vào lực_lượng đó thì địch nào cũng phải tan_rã	vô_luận địch hung_bạo lực_lượng đụng thì địch tan_rã
đương_nhiên , không phải thơ nào cũng cách_mạng cả , nhưng có cách_mạng thì_có thơ	đương_nhiên không phải thơ nào cách_mạng cả nhưng có cách_mạng thì_có thơ
càng chiến_đấu oanh_liệt , càng thắng_lợi giòn_giã , càng sản_xuất càng xây_dựng khỏe bao_nhiêu , nhân_dân ta càng yêu_quý văn_nghệ bấy_nhiêu , bởi_vì văn_nghệ là tinh_hoa của cuộc_sống , là một sức_mạnh , là một vũ_khí chiến_đấu và để chiến_thắng	oanh_liệt chiến_đấu giòn_giã thắng_lợi sản_xuất xây_dựng khỏe nhân_dân văn_nghệ yêu_quý bởi_vì văn_nghệ tinh_hoa cuộc_sống là sức_mạnh vũ_khí chiến_đấu chiến_thắng
nhà_nước của chúng_ta thật_sự dân_chủ , vì nhà_nước đó thực_sự là của dân , sứ_mạng lịch_sử của nó là huy_động lực_lượng của nhân_dân để xây_dựng xã_hội mới , đời_sống mới , con_người mới	nhà_nước dân_chủ nhà_nước của dân lực_lượng nhân_dân huy_động xã_hội mới xây_dựng đời_sống mới con_người mới
cái cảnh trăng_tròn , gió mát , hồ lặng , trời xanh của trung_thu , lại làm cho các cháu vui_cười hớn_hở	trăng_tròn gió mát hồ lặng trời xanh trung_thu các cháu vui_cười hớn_hở
	
Trời ấm_áp	Trời ấm_áp
Không_khí êm_ả và trong_sạch	Không_khí êm_ả trong_sạch
ngoài xa , dòng_sông lào_xào vỗ sóng	xa dòng_sông sóng vỗ
Gió chạy loạt_soạt trong cỏ	Gió loạt_soạt chạy trong cỏ
trăng đã lên cao , đêm đã khuya lắm	trăng cao đêm khuya
muốn ấm_no thì_phải làm_gì	ấm_no làm_gì
Phải làm thế_nào	làm thế_nào
Phải tăng_gia_sản_xuất	tăng_gia_sản_xuất Phải
đợi A_Phủ nói xong với vợ , anh Liên thân_mật hỏi : Tây bắt A_Phủ mấy hôm	A_Phủ nói xong Liên thân_mật hỏi Tây A_Phủ bắt hôm mấy
Làm_sao mà trốn về được	trốn về Làm_sao
nó làm ra_vẻ ngạc_nhiên , không hề biết gì	nó ngạc_nhiên biết không gì
văn_học nghệ_thuật là gì , xưa_nay người_ta đã định_nghĩa nhiều rồi	văn_học nghệ_thuật xưa_nay người_ta đã định_nghĩa
dưới cờ Việt_Minh , đồng_bào hãy dũng_cảm tiến lên	dưới cờ Việt_Minh đồng_bào hãy dũng_cảm tiến lên
từ bấy_giờ đến bây_giờ , hơn sáu năm trời rồi	bấy_giờ bây_giờ hơn sáu năm
Biết_bao_nhiêu là sự đổi_thay	Biết_bao_nhiêu là đổi_thay
thật vĩ_đại , người chiến_sĩ trong gian_khổ nghìn_trùng càng cao vời_vợi ý_chí diệt thù cứu nước	vĩ_đại chiến_sĩ trong gian_khổ nghìn_trùng cao vời_vợi ý_chí thù diệt nước cứu
yêu Bác , lòng ta trong sách hơn	Bác yêu lòng ta trong sách hơn
nỗi_niềm xưa , nghĩ mà thương	nỗi_niềm xưa thương nghĩ
ôi_chao , những việc_làm mở_đường , tạo lối đi cho kẻ đến sau bao_giờ cũng nghiêm_trang và khó_nhọc	việc_làm mở_đường lối đi tạo cho kẻ đến sau bao_giờ nghiêm_trang và khó_nhọc
nói_tóm_lại , mỗi cán_bộ , mỗi hội_viên phải học lí_luận , phải đem lí_luận áp_dụng vào thực_tế	nói_tóm_lại cán_bộ hội_viên lí_luận phải học lí_luận phải đem thực_tế áp_dụng
trong cuộc họp , tôi đã nêu câu_hỏi ấy lên , câu_hỏi quan_trọng nhất	trong cuộc họp tôi đã câu_hỏi nêu nhất quan_trọng
những đòn tre , những thanh tre , những liếp nứa đã bắc qua cầu , đã mở_đường cho anh bộ_đội tiến lên , nước Việt_Nam tiến lên	đòn tre thanh tre liếp nứa cầu bắc bộ_đội mở_đường tiến lên Việt_Nam tiến
từng bụi tre , vườn chè , vườn cọ , con ngòi , đám ruộng đã quen_thuộc , đáng yêu không khác_gì nơi quê_hương mình rồi	bụi tre vườn chè vườn cọ ngòi ruộng quen_thuộc yêu không khác_gì nơi quê_hương mình
tre , nứa , mai , vầu giúp người trăm_nghìn công_việc khác_nhau	tre nứa mai vầu người trăm_nghìn công_việc khác_nhau giúp
cán_bộ của Đảng , của Nhà_nước và của các đoàn_thể nhân_dân , đảng_viên và đoàn_viên thanh_niên lao_động cần phải xung_phong gương_mẫu trong sản_xuất và công_tác	cán_bộ Đảng Nhà_nước đoàn_thể nhân_dân đảng_viên và đoàn_viên thanh_niên lao_động gương_mẫu xung_phong trong sản_xuất và công_tác
thân tôi khổ , thân Ngói cũng khổ	thân tôi khổ thân Ngói khổ
tuy_vậy , làm thơ không phải dễ	tuy_vậy làm thơ không phải dễ
sáng_tạo là vấn_đề rất quan_trọng ; không sáng_tạo không làm cách_mạng được	sáng_tạo vấn_đề quan_trọng không sáng_tạo không làm cách_mạng được
phải đẩy_mạnh tốc_độ cơ_giới_hóa nông_nghiệp ; đẩy_mạnh cải_tạo giống gia_súc và cây_trồng nhằm thực_hiện thâm_canh trên toàn_bộ diện_tích trồng_trọt	tốc_độ cơ_giới_hóa nông_nghiệp đẩy_mạnh giống gia_súc và cây_trồng cải_tạo thực_hiện thâm_canh trên toàn_bộ diện_tích trồng_trọt
tôi chào rồi hỏi : " Đi chợ huyện nào , ông làm_ơn chỉ giúp tôi "	tôi chào hỏi Đi chợ huyện nào ông chỉ giúp tôi làm_ơn
anh_ta bày cho tôi một_cách : đứng đợi đấy , gặp ai gánh hàng đi chợ thì đi theo	anh_ta tôi một_cách bày đứng đợi ai gánh hàng gặp chợ đi đi theo
những chuyện vui , chuyện buồn , chuyện gia_đình , chuyện hàng_xóm , … kể mãi không hết	chuyện vui chuyện buồn chuyện gia_đình chuyện hàng_xóm kể mãi không hết
anh lấy áo … lấy chăn tôi … mặc vào … mặc đi	anh áo lấy chăn tôi lấy mặc vào mặc đi
chồng chị - anh Nguyễn_Văn_Dậu - tuy mới 26 tuổi nhưng đã học nghề làm_ruộng đến mười_bảy năm	chồng chị Nguyễn_Văn_Dậu tuy mới 26 tuổi nhưng học nghề làm_ruộng năm mười_bảy
thế hai bác đã đặt tên cháu chưa	hai bác tên cháu đặt chưa
tôi sẽ thi_hành nhiệm_vụ - người chiến_sĩ nói	tôi nhiệm_vụ thi_hành chiến_sĩ nói
sau khi đến được ba ngày , anh hỏi tôi " Anh dân , anh có biết viết chữ_quốc_ngữ không ? "	ba ngày được anh tôi hỏi Anh dân chữ_quốc_ngữ biết viết không
Tôi hơi thẹn nhưng trả_lời thành_thật : " không , tôi không biết "	Tôi thẹn nhưng trả_lời thành_thật không
mỗi ngày thương_lái mua ít_nhất 6 tấn chuối_lùn còn xanh ở Quảng_Ngãi , ngâm vào bể pha hóa_chất trước khi đóng_gói đưa đi tiêu_thụ	ngày thương_lái 6 tấn chuối_lùn xanh mua Quảng_Ngãi hóa_chất ngâm trước đóng_gói tiêu_thụ
liên_tục trong hai tuần qua , nhiều thương_lái thuê hàng chục lao_động từ các tỉnh phía Bắc vào xã Tịnh_Hà , huyện Sơn_Tịnh , nơi có hàng trăm hộc dân trồng chuối_lùn ven sông Trà KHúc , để mở đại_lý thu_mua chuối_lùn còn xanh xuất sang Trung_Quốc	tuần hai liên_tục thương_lái hục lao_động thuê từ các tỉnh phía Bắc vào Tịnh_Hà Sơn_Tịnh có hàng trăm hộc dân chuối_lùn trồng ven sông Trà KHúc đại_lý mở chuối_lùn còn xanh thu_mua xuất Trung_Quốc
