me co ay	co ay me
tieng ung_oang cua dai_bac nghe thua dan	tieng dai_bac ung_oang nghe thua dan
co_tieng dai_bac no ung_oang tu xa	xa co_tieng dai_bac ung_oang
dieu ay toi biet roi	dieu ay toi biet roi
dieu anh vua noi ay toi biet roi	dieu anh vua noi toi biet
toi da xem tran ay	toi tran ay da xem
toi da xem doi ta dau voi doi ban	toi xem doi ta doi ban dau
vi loi_ich chung ong_ta da xin tu_chuc	vi loi_ich chung ong_ta tu_chuc xin
Cu Tu da bac het ca toc roi	Cu Tu toc bac het
Cu Tu toc bac het ca roi	Cu Tu toc bac het
oi , canh ly_biet ma_sao buon vay	ly_biet ma_sao buon
anh Duc nay , anh lay toi lam vo nhe	anh Duc anh toi lay lam vo
ong Chuong , pho cua cha toi , nay da len tuong	ong Chuong pho cha toi nay len tuong
anh co biet ong ay khong , ong Van ay ma	anh ong ay biet Van
khong ai noi_gi , moi nguoi lang dan ra	ai noi_gi khong moi nguoi lang dan
khong ai noi_gi , roi moi nguoi lang dan ra	ai noi_gi khong moi nguoi lang dan
khong ai noi_gi nhung moi nguoi lang dan ra	ai noi_gi khong nhung moi nguoi lang dan
khong ai noi_gi nen moi nguoi lang dan ra	ai noi_gi khong nen moi nguoi lang dan
tuy khong ai noi_gi nhung moi nguoi lang dan ra	tuy ai noi_gi khong nhung moi nguoi lang dan
vi khong ai noi_gi nen moi nguoi lang dan	vi ai noi_gi khong nen moi nguoi lang dan
da bay_lau_nay bac toi nha	da bay_lau_nay bac toi nha
tre thoi di vang , cho thoi xa	tre thoi di vang cho thoi xa
ao sau nuoc ca , khon chai ca	ao nuoc sau khon chai ca
vuon rong rao thua , kho duoi ga	vuon rong rao thua ga kho duoi
cai chua ra cay , ca moi nu	cai cay chua ra ca nu moi
bau vua rung ron , muop ra hoa	bau ron rung muop hoa ra
dau_tro tiep khach trau_khong co	dau_tro khach tiep trau_khong co
bac den choi day , ta voi ta	bac den choi day ta voi ta
toi cung khong biet	toi khong biet cung
sao anh lai noi the	anh noi sao
chuyen nay nghiem_trong day	chuyen nay nghiem_trong
nhung ai biet ma so	biet ai ma so
sau day la vai diem can noi ro them	sau day vai diem noi ro can
toi khong dinh vao viec nay	toi dinh khong vao
anh cung dung nghi_ngo gi anh_ay	anh nghi_ngo dung anh_ay
dung ra san , ngoai ay ret lam	san ra dung ngoai ay ret
ba ay danh con cho du qua , lam nhu_the khong co tac_dung giao_duc	ba ay cho danh qua nhu_the tac_dung khong co
toi khong muon di , va_lai da muon roi	toi di khong muon va_lai muon roi
	
cam_on bac	
chau cam_on bac	
chau cam_on bac a	
cuon Chi_Pheo o duoi chong tap_chi	cuon Chi_Pheo o duoi tap_chi
duoi chong tap_chi co cuon Chi_Pheo	duoi tap_chi co cuon Chi_Pheo
chong tap_chi o tren cuon Chi_Pheo	tap_chi tren cuon Chi_Pheo
cai xe mau do ay moi la xe cua toi	xe mau do la xe cua toi
xe cua toi la cai mau do ay	xe cua toi mau do
an nhieu qua thi moi sinh_benh chu	an nhieu sinh_benh
sinh_benh dau phai tai an , ma tai an nhieu qua day chu	sinh_benh dau phai tai an nhieu
ai chu no thi khong tin duoc	no khong tin
ga cua ong Tu chet mat hai con	ong Tu ga hai chet
anh_ay da giet ong Ba	anh_ay ong Ba giet
anh_ay da lay tien ong Ba	ong Ba anh_ay lay tien
toi khong tieu tien_cua ong Ba	toi ong Ba tieu tien_cua khong
no phai giai nhieu bai	no nhieu bai phai giai
no giai duoc nam bai , thi ba bai dung	no bai nam ba dung
con hai bai kia thi sai	con hai sai
anh_ta biet danh bong_ban	anh_ta bong_ban danh biet
trong khoa con co nguoi khac biet danh bong_ban	trong khoa nguoi bong_ban danh co
nang_luc chuyen_mon cua anh_ta noi ra khong tien	noi anh_ta nang_luc chuyen_mon tien khong
noi vao_de	noi vao_de
noi het	noi het
noi vua du	noi du vua
noi ro_rang	noi ro_rang
tu xom ben boc len mot cot khoi	xom ben cot khoi boc len
la rung tren them	tren them la rung
chia_khoa nay mo_cua kho	chia_khoa nay kho mo_cua
co muoi	muoi co
con tien trong tui	tui tien con
tren tuong treo mot buc tranh	buc tranh tren tuong
con cho chay ngoai san	ngoai san cho chay
thang be nhin con ho	thang be ho nhin
Nam lau ban	Nam ban lau
Nam dong ban	Nam ban dong
Nam cho em be cai keo	Nam em be cho keo
Nam dap cai coc vo tan	Nam coc dap vo
Nam danh cai chuong keu boong_boong	Nam chuong danh boong_boong
Nam sai em di mua thuoc_la	Nam em sai thuoc_la mua
gio mo tung cua_so	cua_so gio mo
gio khong nen mo tung cua_so	cua_so gio mo khong nen
chau be gay_yeu qua	be gay_yeu
chung_toi rat thuong chau	chung_toi chau thuong
chang yeu nang	
no rat so ran	ran no so
con te_giac khong khoe bang con voi	voi te_giac khoe khong bang
anh_ay gioi hon	anh_ay gioi hon
chuong 1 la chuong dai nhat cua cuon sach	chuong 1 chuong cuon sach dai nhat
trung_uy Dung la chi_huy dai_doi chung_toi	trung_uy Dung dai_doi chung_toi chi_huy
day la cho hop thich_hop nhat	day la cho hop thich_hop nhat
chiec xe kho cua van moi hon cua toi	xe anh moi hon van cua toi
chieu nay the_nao cung mua	chieu nay mua the_nao cung
sao anh no lam the	anh lam the sao no
toi can biet ngay anh len_duong	ngay anh len_duong toi biet can
lan sau con the nua thi toi khong de cho anh yen dau	lan sau anh toi de khong yen
tap truyen cua anh la mot kiet_tac	truyen anh kiet_tac
moi nguoi dung_day	moi nguoi dung_day
moi nguoi dung_day di	moi nguoi dung_day
moi nguoi dung_day u	moi nguoi dung_day
canh dep ma buon	canh dep ma buon
canh dep ma buon lam_sao	canh dep ma buon lam_sao
toi cam anh hut thuoc_la	anh thuoc_la hut toi cam
cha toi cam toi hut thuoc_la	toi hut thuoc_la cha cam
toi da bo thuoc_la	toi thuoc_la bo
toi cam anh	toi anh cam
toi cam day	toi cam
toi da cam anh kia roi ma	toi anh cam
toi cam no roi	toi no cam
no cam anh a	no anh cam
de_nghi cac dong_chi yen_lang	dong_chi de_nghi yen_lang
xin de_nghi cac dong_chi yen_lang	xin dong_chi de_nghi yen_lang
toi gui cac ban loi chao than_ai	toi ban gui loi chao than_ai
toi xin gui cac ban loi chao than_ai	toi ban gui loi chao than_ai
	
toi xin cam_on	toi cam_on
cac con khong duoc cai nhau nua	con cai nhau khong duoc
anh ke cai ban ay ra day cho dep	anh ban ke day dep
bac vao choi xoi nuoc a	bac vao nuoc xoi
cai bong hoa nay ve to qua	hoa nay ve to
duong_sa lay_loi kinh nguoi	duong_sa lay_loi kinh
chinh anh lam hong viec chu ai	anh lam hong
lam nhu_the cung duoc chu sao	lam nhu_the duoc chu sao
lai muon voi tien nua chu gi	muon tien chu gi
anh phe_binh hay mat_sat toi day	anh toi phe_binh mat_sat
con hay con meo danh vo binh hoa	con hay con meo binh hoa vo
cau thich cho hon hay meo hon	cau cho meo thich hon
Nam tang em be keo hay nuoc_hoa	keo hay nuoc_hoa be Nam tang
minh di xe_lua hay may_bay	xe_lua hay may_bay minh di
cuoc hop hoan lai mot tuan hay nua thang	hop hoan mot tuan hay nua thang
ong co diem khong	ong diem co
con muon an don phai khong	con don muon
may co cam cai mom di khong	may mom cam
ong cho toi xin ti lua	ong lua toi xin
con hay ngung ngay cai viec dang danh_don ay	ngung ngay viec dang danh_don
may cam cai mom di	may mom cam
bo xuong day	bo xuong day
an gi to_lon day_da lam_sao	an gi to_lon day_da lam_sao
the_thi co kho cho toi khong	the_thi toi kho
nguoi dau ma vo_tam	nguoi dau ma vo_tam
to_quoc co bao_gio dep the_nay chang	to_quoc co bao_gio dep the_nay chang
nham thang quan_thu , ban	nham quan_thu ban
ngu di	
may oi , hay ngung troi	may troi hay ngung
la oi , dung rung nua	la oi rung dung
dung xanh nhu la , bac nhu voi	xanh nhu la bac nhu voi dung
hay tuoi mai mau xanh_tuoi anh thep	mau xanh_tuoi tuoi mai anh thep hay
xin cac ban giu trat_tu	xin ban trat_tu
cac ban giu trat_tu	ban trat_tu
cac ban co giu trat_tu khong nao	ban trat_tu khong
anh_ta co tai ma chang co duc	anh_ta tai co duc chang co
viec nay kho lam day	viec nay kho lam day
em oi , buon lam_chi	em buon lam_chi
the co kho khong	the kho co
nhung ngay toi dang song dang song bao_nhieu	nhung ngay toi song dang song bao_nhieu
dep qua nhi	dep qua
cuon truyen nay rat hay	cuon truyen nay hay
cuon truyen nay khong hay	cuon truyen nay hay khong
cuon truyen nay khong hay lam	cuon truyen nay hay khong
thanh nay khong dai bang thanh kia	thanh nay thanh kia khong dai bang
thanh nay ngan hon thanh kia	thanh nay thanh kia ngan hon
re thi_co re , nhung khong dep	re thi_co re nhung dep khong
no co gian anh that , nhung khong ghet anh dau	anh no gian co nhung ghet khong
chau da lam bai thi toan	chau bai thi toan lam da
bai thi toan chau duoc nua diem	bai thi toan chau nua diem
vi_the la nhieu doi_voi chau	vi_the doi_voi chau nhieu
chau ken qua day	chau ken qua
con bac con tien con de_tu	bac con tien con de_tu con
Nam treu em be	be Nam treu
em be khoc	be khoc
gio danh canh tre	canh tre gio danh
gio thoi , may bay	thoi gio bay may
cong_viec dang bon_be	cong_viec bon_be
moi li_thuyet deu xam	li_thuyet moi xam deu
Nam la hoc_sinh gioi	Nam hoc_sinh gioi
dang tiec that	that tiec
den dem da bat , san_bay lai bat_dau lam_viec	den dem bat san_bay bat_dau lam_viec
vao dau tre cung song , o dau tre cung xanh tot	vao dau tre song dau tre xanh tot
nuoc reo quanh chan lua , lua rung len , long nguoi cung rung len	nuoc quanh chan lua reo lua rung long nguoi rung
ngoai dinh , trong lai thuc , mo lai khua , tu_va ruc lien_thanh bat chi	ngoai dinh trong thuc mo khua tu_va lien_thanh ruc
cam ong banh ra , mat ong tron_trung , ca nguoi ong nhu mot pho tuong bang dong_den cuon_cuon nhung bap_thit	cam ong banh ra mat tron_trung ca nguoi pho tuong bang dong_den cuon_cuon bap_thit
nhung chiec o_to chay di , chay lai nhu nhung con_thoi , may_bay_phan_luc rit ao_ao va len_loi giua tat_ca nhung o_to , may_bay ay co mot chiec xe_dap ba banh	o_to chay di chay nhu con_thoi may_bay_phan_luc rit va len_loi may_bay chiec xe_dap ba banh co
cai Ty hai hang nuoc_mat rong_rong , hon_hit cac em mot luot , roi lui_thui , no doi me non tren dau va cap goi ao vao nach	Ty nuoc_mat rong_rong em hon_hit non doi me tren dau goi ao vao nach cap
nuoc ta la mot , dan_toc ta la mot	nuoc mot dan_toc mot
nhan_dan nhu nuoc , bo_doi nhu ca	nhan_dan nuoc bo_doi ca
moi nguoi di roi chi con thang be Tun o nha	nguoi di chi con thang be Tun nha o
hoa buoi thom roi : dem da khuya	hoa buoi thom dem khuya
Luong bat den_pin nhin dong_ho tay : hai gio ruoi sang	Luong den_pin bat dong_ho tay nhin gio hai ruoi sang
ben ve duong co hai cha_con lam_ruong : cha danh cay , con dap dat	ve duong cha_con lam_ruong hai cha cay danh con dat dap
chi Hoang chay lai buyp phe lay mot quyen sach bia day gay da dem lai	Hoang sach mot lay bia day da gay dem
minh doc hay toi doc	minh doc hay toi doc
hoac la chung_ta phai nghi toi nhan_dan ; hoac la chung_ta chi lo_lang cho rieng minh	chung_ta nhan_dan nghi chung_ta minh lo_lang
cho khong hop vi khong phai phien	cho khong hop vi khong phai phien
nguoi_ta da yeu_men anh la vi_the	nguoi_ta anh yeu_men
hai muc_dich khac_nhau , nen phuong_phap khoa_hoc va ky_thuat de dat den muc_dich cung khac_nhau	muc_dich hai khac_nhau phuong_phap khoa_hoc ky_thuat dat muc_dich khac_nhau
em da song , boi_vi em chien thang	em song boi_vi em chien thang
he toi hoi dong vao minh no , no lai le luoi ra y_nhu thuong_ngay	toi hoi dong no no le luoi
thoi_dai bien_doi thi van_hoc cung bien_doi	thoi_dai bien_doi van_hoc bien_doi
bo a ! neu the_thi con da gap anh Sa	bo con Sa gap
mien_la dung tren lap_truong tu_tuong dai_chung nhan_dan ma giai_quyet thi ta van co_the van_dung moi hinh_thuc , ta van het_suc tu_do trong su lua_chon de_tai	tren lap_truong tu_tuong dai_chung nhan_dan ma giai_quyet thi ta hinh_thuc van_dung ta tu_do lua_chon de_tai
van co hay tac_pham moi co gia_tri	van co tac_pham gia_tri co
Viet_Minh ma len duoc thi dan do kho ong nhi	Viet_Minh len thi dan kho do
tuy rat dep nhung mua nao thuc ay	tdep nhung mua nao thuc ay
tuy mieng cuoi_noi vay_ma bung ong cung roi_boi len	mieng cuoi_noi vay_ma bung ong roi_boi
mac_du vay doi_voi gia_dinh vo , Thu van co_y khong than_mat lam	doi_voi gia_dinh vo Thu than_mat co_y khong
	
chiec xe cang den gan pho Hang_Cot , Phuong cang hoi_hop	xe den gan pho Hang_Cot Phuong hoi_hop
ngoai kia tieng go_cua manh bao_nhieu , trong nay trong_nguc toi manh bay_nhieu	ngoai kia tieng go_cua manh bao_nhieu trong nay trong_nguc toi manh bay_nhieu
giai_cap nao nam quyen_so_huu ve tu_lieu_san_xuat thi giai_cap do la giai_cap thong_tri	giai_cap quyen_so_huu tu_lieu_san_xuat nam giai_cap thong_tri
cang di xuong phong_cach cang quen mat	di xuong phong_cach quen mat
toi co noi rat tu_nhien de anh khong mot_chut nghi_ngo	toi tu_nhien noi anh khong mot_chut nghi_ngo
de cho me yen_tam , co thuong viet thu cho me	me yen_tam co thuong thu cho me viet
anh danh dan cho toi nghe	anh dan danh toi nghe
vo_luan ke dich hung_bao the_nao , he dung vao luc_luong do thi dich nao cung phai tan_ra	vo_luan dich hung_bao luc_luong dung thi dich tan_ra
duong_nhien , khong phai tho nao cung cach_mang ca , nhung co cach_mang thi_co tho	duong_nhien khong phai tho nao cach_mang ca nhung co cach_mang thi_co tho
cang chien_dau oanh_liet , cang thang_loi gion_gia , cang san_xuat cang xay_dung khoe bao_nhieu , nhan_dan ta cang yeu_quy van_nghe bay_nhieu , boi_vi van_nghe la tinh_hoa cua cuoc_song , la mot suc_manh , la mot vu_khi chien_dau va de chien_thang	oanh_liet chien_dau gion_gia thang_loi san_xuat xay_dung khoe nhan_dan van_nghe yeu_quy boi_vi van_nghe tinh_hoa cuoc_song la suc_manh vu_khi chien_dau chien_thang
nha_nuoc cua chung_ta that_su dan_chu , vi nha_nuoc do thuc_su la cua dan , su_mang lich_su cua no la huy_dong luc_luong cua nhan_dan de xay_dung xa_hoi moi , doi_song moi , con_nguoi moi	nha_nuoc dan_chu nha_nuoc cua dan luc_luong nhan_dan huy_dong xa_hoi moi xay_dung doi_song moi con_nguoi moi
cai canh trang_tron , gio mat , ho lang , troi xanh cua trung_thu , lai lam cho cac chau vui_cuoi hon_ho	trang_tron gio mat ho lang troi xanh trung_thu cac chau vui_cuoi hon_ho
	
Troi am_ap	Troi am_ap
Khong_khi em_a va trong_sach	Khong_khi em_a trong_sach
ngoai xa , dong_song lao_xao vo song	xa dong_song song vo
Gio chay loat_soat trong co	Gio loat_soat chay trong co
trang da len cao , dem da khuya lam	trang cao dem khuya
muon am_no thi_phai lam_gi	am_no lam_gi
Phai lam the_nao	lam the_nao
Phai tang_gia_san_xuat	tang_gia_san_xuat Phai
doi A_Phu noi xong voi vo , anh Lien than_mat hoi : Tay bat A_Phu may hom	A_Phu noi xong Lien than_mat hoi Tay A_Phu bat hom may
Lam_sao ma tron ve duoc	tron ve Lam_sao
no lam ra_ve ngac_nhien , khong he biet gi	no ngac_nhien biet khong gi
van_hoc nghe_thuat la gi , xua_nay nguoi_ta da dinh_nghia nhieu roi	van_hoc nghe_thuat xua_nay nguoi_ta da dinh_nghia
duoi co Viet_Minh , dong_bao hay dung_cam tien len	duoi co Viet_Minh dong_bao hay dung_cam tien len
tu bay_gio den bay_gio , hon sau nam troi roi	bay_gio bay_gio hon sau nam
Biet_bao_nhieu la su doi_thay	Biet_bao_nhieu la doi_thay
that vi_dai , nguoi chien_si trong gian_kho nghin_trung cang cao voi_voi y_chi diet thu cuu nuoc	vi_dai chien_si trong gian_kho nghin_trung cao voi_voi y_chi thu diet nuoc cuu
yeu Bac , long ta trong sach hon	Bac yeu long ta trong sach hon
noi_niem xua , nghi ma thuong	noi_niem xua thuong nghi
oi_chao , nhung viec_lam mo_duong , tao loi di cho ke den sau bao_gio cung nghiem_trang va kho_nhoc	viec_lam mo_duong loi di tao cho ke den sau bao_gio nghiem_trang va kho_nhoc
noi_tom_lai , moi can_bo , moi hoi_vien phai hoc li_luan , phai dem li_luan ap_dung vao thuc_te	noi_tom_lai can_bo hoi_vien li_luan phai hoc li_luan phai dem thuc_te ap_dung
trong cuoc hop , toi da neu cau_hoi ay len , cau_hoi quan_trong nhat	trong cuoc hop toi da cau_hoi neu nhat quan_trong
nhung don tre , nhung thanh tre , nhung liep nua da bac qua cau , da mo_duong cho anh bo_doi tien len , nuoc Viet_Nam tien len	don tre thanh tre liep nua cau bac bo_doi mo_duong tien len Viet_Nam tien
tung bui tre , vuon che , vuon co , con ngoi , dam ruong da quen_thuoc , dang yeu khong khac_gi noi que_huong minh roi	bui tre vuon che vuon co ngoi ruong quen_thuoc yeu khong khac_gi noi que_huong minh
tre , nua , mai , vau giup nguoi tram_nghin cong_viec khac_nhau	tre nua mai vau nguoi tram_nghin cong_viec khac_nhau giup
can_bo cua Dang , cua Nha_nuoc va cua cac doan_the nhan_dan , dang_vien va doan_vien thanh_nien lao_dong can phai xung_phong guong_mau trong san_xuat va cong_tac	can_bo Dang Nha_nuoc doan_the nhan_dan dang_vien va doan_vien thanh_nien lao_dong guong_mau xung_phong trong san_xuat va cong_tac
than toi kho , than Ngoi cung kho	than toi kho than Ngoi kho
tuy_vay , lam tho khong phai de	tuy_vay lam tho khong phai de
sang_tao la van_de rat quan_trong ; khong sang_tao khong lam cach_mang duoc	sang_tao van_de quan_trong khong sang_tao khong lam cach_mang duoc
phai day_manh toc_do co_gioi_hoa nong_nghiep ; day_manh cai_tao giong gia_suc va cay_trong nham thuc_hien tham_canh tren toan_bo dien_tich trong_trot	toc_do co_gioi_hoa nong_nghiep day_manh giong gia_suc va cay_trong cai_tao thuc_hien tham_canh tren toan_bo dien_tich trong_trot
toi chao roi hoi : " Di cho huyen nao , ong lam_on chi giup toi "	toi chao hoi Di cho huyen nao ong chi giup toi lam_on
anh_ta bay cho toi mot_cach : dung doi day , gap ai ganh hang di cho thi di theo	anh_ta toi mot_cach bay dung doi ai ganh hang gap cho di di theo
nhung chuyen vui , chuyen buon , chuyen gia_dinh , chuyen hang_xom , … ke mai khong het	chuyen vui chuyen buon chuyen gia_dinh chuyen hang_xom ke mai khong het
anh lay ao … lay chan toi … mac vao … mac di	anh ao lay chan toi lay mac vao mac di
chong chi - anh Nguyen_Van_Dau - tuy moi 26 tuoi nhung da hoc nghe lam_ruong den muoi_bay nam	chong chi Nguyen_Van_Dau tuy moi 26 tuoi nhung hoc nghe lam_ruong nam muoi_bay
the hai bac da dat ten chau chua	hai bac ten chau dat chua
toi se thi_hanh nhiem_vu - nguoi chien_si noi	toi nhiem_vu thi_hanh chien_si noi
sau khi den duoc ba ngay , anh hoi toi " Anh dan , anh co biet viet chu_quoc_ngu khong ? "	ba ngay duoc anh toi hoi Anh dan chu_quoc_ngu biet viet khong
Toi hoi then nhung tra_loi thanh_that : " khong , toi khong biet "	Toi then nhung tra_loi thanh_that khong
moi ngay thuong_lai mua it_nhat 6 tan chuoi_lun con xanh o Quang_Ngai , ngam vao be pha hoa_chat truoc khi dong_goi dua di tieu_thu	ngay thuong_lai 6 tan chuoi_lun xanh mua Quang_Ngai hoa_chat ngam truoc dong_goi tieu_thu
lien_tuc trong hai tuan qua , nhieu thuong_lai thue hang chuc lao_dong tu cac tinh phia Bac vao xa Tinh_Ha , huyen Son_Tinh , noi co hang tram hoc dan trong chuoi_lun ven song Tra KHuc , de mo dai_ly thu_mua chuoi_lun con xanh xuat sang Trung_Quoc	tuan hai lien_tuc thuong_lai huc lao_dong thue tu cac tinh phia Bac vao Tinh_Ha Son_Tinh co hang tram hoc dan chuoi_lun trong ven song Tra KHuc dai_ly mo chuoi_lun con xanh thu_mua xuat Trung_Quoc
Ong Hoang_Van_Thien cho_biet , moi buoi_sang , ong chu nguoi Trung_Quoc mang thung catton dung day cac lo nhua hoa_chat de hoa vao be da_chien phu bat day nuoc	Hoang_Van_Thien cho_biet buoi_sang chu Trung_Quoc thung catton mang lo nhua hoa_chat dung hoa vao be da_chien phu bat day nuoc
con hay ngung ngay cai viec dang danh_don ay	ngung ngay viec dang danh_don
may cam cai mom di	may mom cam
bo xuong day	bo xuong day
an gi to_lon day_da lam_sao	an gi to_lon day_da lam_sao
the_thi co kho cho toi khong	the_thi toi kho
nguoi dau ma vo_tam	nguoi dau ma vo_tam
to_quoc co bao_gio dep the_nay chang	to_quoc co bao_gio dep the_nay chang
nham thang quan_thu , ban	nham quan_thu ban
ngu di	
may oi , hay ngung troi	may troi hay ngung
la oi , dung rung nua	la oi rung dung
dung xanh nhu la , bac nhu voi	xanh nhu la bac nhu voi dung
hay tuoi mai mau xanh_tuoi anh thep	mau xanh_tuoi tuoi mai anh thep hay
xin cac ban giu trat_tu	xin ban trat_tu
cac ban giu trat_tu	ban trat_tu
cac ban co giu trat_tu khong nao	ban trat_tu khong
anh_ta co tai ma chang co duc	anh_ta tai co duc chang co
viec nay kho lam day	viec nay kho lam day
em oi , buon lam_chi	em buon lam_chi
the co kho khong	the kho co
nhung ngay toi dang song dang song bao_nhieu	nhung ngay toi song dang song bao_nhieu
dep qua nhi	dep qua
cuon truyen nay rat hay	cuon truyen nay hay
cuon truyen nay khong hay	cuon truyen nay hay khong
cuon truyen nay khong hay lam	cuon truyen nay hay khong
thanh nay khong dai bang thanh kia	thanh nay thanh kia khong dai bang
thanh nay ngan hon thanh kia	thanh nay thanh kia ngan hon
re thi_co re , nhung khong dep	re thi_co re nhung dep khong
no co gian anh that , nhung khong ghet anh dau	anh no gian co nhung ghet khong
chau da lam bai thi toan	chau bai thi toan lam da
bai thi toan chau duoc nua diem	bai thi toan chau nua diem
vi_the la nhieu doi_voi chau	vi_the doi_voi chau nhieu
chau ken qua day	chau ken qua
con bac con tien con de_tu	bac con tien con de_tu con
Nam treu em be	be Nam treu
em be khoc	be khoc
gio danh canh tre	canh tre gio danh
gio thoi , may bay	thoi gio bay may
cong_viec dang bon_be	cong_viec bon_be
moi li_thuyet deu xam	li_thuyet moi xam deu
Nam la hoc_sinh gioi	Nam hoc_sinh gioi
dang tiec that	that tiec
den dem da bat , san_bay lai bat_dau lam_viec	den dem bat san_bay bat_dau lam_viec
vao dau tre cung song , o dau tre cung xanh tot	vao dau tre song dau tre xanh tot
nuoc reo quanh chan lua , lua rung len , long nguoi cung rung len	nuoc quanh chan lua reo lua rung long nguoi rung
ngoai dinh , trong lai thuc , mo lai khua , tu_va ruc lien_thanh bat chi	ngoai dinh trong thuc mo khua tu_va lien_thanh ruc
cam ong banh ra , mat ong tron_trung , ca nguoi ong nhu mot pho tuong bang dong_den cuon_cuon nhung bap_thit	cam ong banh ra mat tron_trung ca nguoi pho tuong bang dong_den cuon_cuon bap_thit
nhung chiec o_to chay di , chay lai nhu nhung con_thoi , may_bay_phan_luc rit ao_ao va len_loi giua tat_ca nhung o_to , may_bay ay co mot chiec xe_dap ba banh	o_to chay di chay nhu con_thoi may_bay_phan_luc rit va len_loi may_bay chiec xe_dap ba banh co
cai Ty hai hang nuoc_mat rong_rong , hon_hit cac em mot luot , roi lui_thui , no doi me non tren dau va cap goi ao vao nach	Ty nuoc_mat rong_rong em hon_hit non doi me tren dau goi ao vao nach cap
nuoc ta la mot , dan_toc ta la mot	nuoc mot dan_toc mot
nhan_dan nhu nuoc , bo_doi nhu ca	nhan_dan nuoc bo_doi ca
moi nguoi di roi chi con thang be Tun o nha	nguoi di chi con thang be Tun nha o
hoa buoi thom roi : dem da khuya	hoa buoi thom dem khuya
Luong bat den_pin nhin dong_ho tay : hai gio ruoi sang	Luong den_pin bat dong_ho tay nhin gio hai ruoi sang
ben ve duong co hai cha_con lam_ruong : cha danh cay , con dap dat	ve duong cha_con lam_ruong hai cha cay danh con dat dap
chi Hoang chay lai buyp phe lay mot quyen sach bia day gay da dem lai	Hoang sach mot lay bia day da gay dem
minh doc hay toi doc	minh doc hay toi doc
hoac la chung_ta phai nghi toi nhan_dan ; hoac la chung_ta chi lo_lang cho rieng minh	chung_ta nhan_dan nghi chung_ta minh lo_lang
cho khong hop vi khong phai phien	cho khong hop vi khong phai phien
nguoi_ta da yeu_men anh la vi_the	nguoi_ta anh yeu_men
hai muc_dich khac_nhau , nen phuong_phap khoa_hoc va ky_thuat de dat den muc_dich cung khac_nhau	muc_dich hai khac_nhau phuong_phap khoa_hoc ky_thuat dat muc_dich khac_nhau
em da song , boi_vi em chien thang	em song boi_vi em chien thang
he toi hoi dong vao minh no , no lai le luoi ra y_nhu thuong_ngay	toi hoi dong no no le luoi
thoi_dai bien_doi thi van_hoc cung bien_doi	thoi_dai bien_doi van_hoc bien_doi
bo a ! neu the_thi con da gap anh Sa	bo con Sa gap
mien_la dung tren lap_truong tu_tuong dai_chung nhan_dan ma giai_quyet thi ta van co_the van_dung moi hinh_thuc , ta van het_suc tu_do trong su lua_chon de_tai	tren lap_truong tu_tuong dai_chung nhan_dan ma giai_quyet thi ta hinh_thuc van_dung ta tu_do lua_chon de_tai
van co hay tac_pham moi co gia_tri	van co tac_pham gia_tri co
Viet_Minh ma len duoc thi dan do kho ong nhi	Viet_Minh len thi dan kho do
tuy rat dep nhung mua nao thuc ay	tdep nhung mua nao thuc ay
tuy mieng cuoi_noi vay_ma bung ong cung roi_boi len	mieng cuoi_noi vay_ma bung ong roi_boi
mac_du vay doi_voi gia_dinh vo , Thu van co_y khong than_mat lam	doi_voi gia_dinh vo Thu than_mat co_y khong
	
chiec xe cang den gan pho Hang_Cot , Phuong cang hoi_hop	xe den gan pho Hang_Cot Phuong hoi_hop
ngoai kia tieng go_cua manh bao_nhieu , trong nay trong_nguc toi manh bay_nhieu	ngoai kia tieng go_cua manh bao_nhieu trong nay trong_nguc toi manh bay_nhieu
giai_cap nao nam quyen_so_huu ve tu_lieu_san_xuat thi giai_cap do la giai_cap thong_tri	giai_cap quyen_so_huu tu_lieu_san_xuat nam giai_cap thong_tri
cang di xuong phong_cach cang quen mat	di xuong phong_cach quen mat
toi co noi rat tu_nhien de anh khong mot_chut nghi_ngo	toi tu_nhien noi anh khong mot_chut nghi_ngo
de cho me yen_tam , co thuong viet thu cho me	me yen_tam co thuong thu cho me viet
anh danh dan cho toi nghe	anh dan danh toi nghe
vo_luan ke dich hung_bao the_nao , he dung vao luc_luong do thi dich nao cung phai tan_ra	vo_luan dich hung_bao luc_luong dung thi dich tan_ra
duong_nhien , khong phai tho nao cung cach_mang ca , nhung co cach_mang thi_co tho	duong_nhien khong phai tho nao cach_mang ca nhung co cach_mang thi_co tho
cang chien_dau oanh_liet , cang thang_loi gion_gia , cang san_xuat cang xay_dung khoe bao_nhieu , nhan_dan ta cang yeu_quy van_nghe bay_nhieu , boi_vi van_nghe la tinh_hoa cua cuoc_song , la mot suc_manh , la mot vu_khi chien_dau va de chien_thang	oanh_liet chien_dau gion_gia thang_loi san_xuat xay_dung khoe nhan_dan van_nghe yeu_quy boi_vi van_nghe tinh_hoa cuoc_song la suc_manh vu_khi chien_dau chien_thang
nha_nuoc cua chung_ta that_su dan_chu , vi nha_nuoc do thuc_su la cua dan , su_mang lich_su cua no la huy_dong luc_luong cua nhan_dan de xay_dung xa_hoi moi , doi_song moi , con_nguoi moi	nha_nuoc dan_chu nha_nuoc cua dan luc_luong nhan_dan huy_dong xa_hoi moi xay_dung doi_song moi con_nguoi moi
